encoding,code,code_clean,description,Tipo código,Inclusión/Exclusión,Cohort,Subcohort,p_type_cd,d_type_cd,observations,comments
ICD-10,0SR9019,0SR9019,"Sustitución de articulación cadera, derecha, con sustituto sintético, metal, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR901A,0SR901A,"Sustitución de articulación cadera, derecha, con sustituto sintético, metal, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR901Z,0SR901Z,"Sustitución de articulación cadera, derecha, con sustituto sintético, metal, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR9029,0SR9029,"Sustitución de articulación cadera, derecha, con sustituto sintético, metal sobre polietileno, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR902A,0SR902A,"Sustitución de articulación cadera, derecha, con sustituto sintético, metal sobre polietileno, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR902Z,0SR902Z,"Sustitución de articulación cadera, derecha, con sustituto sintético, metal sobre polietileno, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR9039,0SR9039,"Sustitución de articulación cadera, derecha, con sustituto sintético, cerámica, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR903A,0SR903A,"Sustitución de articulación cadera, derecha, con sustituto sintético, cerámica, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR903Z,0SR903Z,"Sustitución de articulación cadera, derecha, con sustituto sintético, cerámica, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR9049,0SR9049,"Sustitución de articulación cadera, derecha, con sustituto sintético, cerámica sobre polietileno, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR904A,0SR904A,"Sustitución de articulación cadera, derecha, con sustituto sintético, cerámica sobre polietileno, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR904Z,0SR904Z,"Sustitución de articulación cadera, derecha, con sustituto sintético, cerámica sobre polietileno, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR90J9,0SR90J9,"Sustitución de articulación cadera, derecha, con sustituto sintético, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR90JA,0SR90JA,"Sustitución de articulación cadera, derecha, con sustituto sintético, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR90JZ,0SR90JZ,"Sustitución de articulación cadera, derecha, con sustituto sintético, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB019,0SRB019,"Sustitución de articulación cadera, izquierda, con sustituto sintético, metal, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB01A,0SRB01A,"Sustitución de articulación cadera, izquierda, con sustituto sintético, metal, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB01Z,0SRB01Z,"Sustitución de articulación cadera, izquierda, con sustituto sintético, metal, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB029,0SRB029,"Sustitución de articulación cadera, izquierda, con sustituto sintético, metal sobre polietileno, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR9069,0SR9069,"Sustitución de articulación cadera, derecha, con sustituto sintético, circonio oxidado sobre polietileno, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR906A,0SR906A,"Sustitución de articulación cadera, derecha, con sustituto sintético, circonio oxidado sobre polietileno, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB02A,0SRB02A,"Sustitución de articulación cadera, izquierda, con sustituto sintético, metal sobre polietileno, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB02Z,0SRB02Z,"Sustitución de articulación cadera, izquierda, con sustituto sintético, metal sobre polietileno, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB039,0SRB039,"Sustitución de articulación cadera, izquierda, con sustituto sintético, cerámica, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB03A,0SRB03A,"Sustitución de articulación cadera, izquierda, con sustituto sintético, cerámica, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB03Z,0SRB03Z,"Sustitución de articulación cadera, izquierda, con sustituto sintético, cerámica, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB049,0SRB049,"Sustitución de articulación cadera, izquierda, con sustituto sintético, cerámica sobre polietileno, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB04A,0SRB04A,"Sustitución de articulación cadera, izquierda, con sustituto sintético, cerámica sobre polietileno, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB04Z,0SRB04Z,"Sustitución de articulación cadera, izquierda, con sustituto sintético, cerámica sobre polietileno, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB0J9,0SRB0J9,"Sustitución de articulación cadera, izquierda, con sustituto sintético, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB0JA,0SRB0JA,"Sustitución de articulación cadera, izquierda, con sustituto sintético, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRB0JZ,0SRB0JZ,"Sustitución de articulación cadera, izquierda, con sustituto sintético, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SR906Z,0SR906Z,"Sustitución de articulación cadera, derecha, con sustituto sintético, circonio oxidado sobre polietileno, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRR019,0SRR019,"Sustitución de articulación cadera, superficie femoral, derecha, con sustituto sintético, metal, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRR01A,0SRR01A,"Sustitución de articulación cadera, superficie femoral, derecha, con sustituto sintético, metal, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRR01Z,0SRR01Z,"Sustitución de articulación cadera, superficie femoral, derecha, con sustituto sintético, metal, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRR039,0SRR039,"Sustitución de articulación cadera, superficie femoral, derecha, con sustituto sintético, cerámica, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRR03A,0SRR03A,"Sustitución de articulación cadera, superficie femoral, derecha, con sustituto sintético, cerámica, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRR03Z,0SRR03Z,"Sustitución de articulación cadera, superficie femoral, derecha, con sustituto sintético, cerámica, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRR0J9,0SRR0J9,"Sustitución de articulación cadera, superficie femoral, derecha, con sustituto sintético, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRR0JA,0SRR0JA,"Sustitución de articulación cadera, superficie femoral, derecha, con sustituto sintético, no cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRR0JZ,0SRR0JZ,"Sustitución de articulación cadera, superficie femoral, derecha, con sustituto sintético, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
ICD-10,0SRS019,0SRS019,"Sustitución de articulación  cadera, superficie femoral, izquierda, con sustituto sintético, metal, cementada, abordaje abierto",Procedimiento,I,Artroplastias primarias de Cadera,,,,Definición clínica de Artroplastia primaria de cadera: Procedimientos quirúrgicos programados o electivos de sustitución de cadera nativa. Se excluyen los diagnósticos asociados de fractura de fémur y los procedimientos de retirada de prótesis de cadera,
