encoding|code_clean|description|source|observations|alternative_code_cnf
atc|B03BB01|folic acid|WHO Collaborating Centre for Drug Statistics Methodology||010925
atc|B01AC06|Acetylsalicylic acid|WHO Collaborating Centre for Drug Statistics Methodology||017301
atc|B03BA01|cyanocobalamin|WHO Collaborating Centre for Drug Statistics Methodology||140025
atc|B03AE03|iron and multivitamins|WHO Collaborating Centre for Drug Statistics Methodology||174511
atc|B03BA01|cyanocobalamin|WHO Collaborating Centre for Drug Statistics Methodology||193035
atc|B03AA07|ferrous sulfate|WHO Collaborating Centre for Drug Statistics Methodology||201483
atc|B03BB01|folic acid|WHO Collaborating Centre for Drug Statistics Methodology||550333
atc|B01AF02|Apixaban|WHO Collaborating Centre for Drug Statistics Methodology||560301
atc|B01AE07|Dabigatran|WHO Collaborating Centre for Drug Statistics Methodology||560307
atc|B01AF01|Rivaroxaban|WHO Collaborating Centre for Drug Statistics Methodology||560313
atc|B01AF02|Apixaban|WHO Collaborating Centre for Drug Statistics Methodology||560315
atc|B01AF02|Apixaban|WHO Collaborating Centre for Drug Statistics Methodology||560316
atc|B01AE07|Dabigatran|WHO Collaborating Centre for Drug Statistics Methodology||560317
atc|B01AE07|Dabigatran|WHO Collaborating Centre for Drug Statistics Methodology||560318
atc|B01AF01|Rivaroxaban|WHO Collaborating Centre for Drug Statistics Methodology||560321
atc|B01AF01|Rivaroxaban|WHO Collaborating Centre for Drug Statistics Methodology||560322
atc|B01AC04|Clopidogrel|WHO Collaborating Centre for Drug Statistics Methodology||560323
atc|B01AC24|Ticagrelor|WHO Collaborating Centre for Drug Statistics Methodology||560324
atc|B01AC24|Ticagrelor|WHO Collaborating Centre for Drug Statistics Methodology||560327
atc|B03BB01|folic acid|WHO Collaborating Centre for Drug Statistics Methodology||570293
atc|B01AC06|Acetylsalicylic acid|WHO Collaborating Centre for Drug Statistics Methodology||570606
atc|B01AC04|Clopidogrel|WHO Collaborating Centre for Drug Statistics Methodology||570747
atc|B01AB05|Enoxaparin|WHO Collaborating Centre for Drug Statistics Methodology||570777
atc|B01AB05|Enoxaparin|WHO Collaborating Centre for Drug Statistics Methodology||570778
atc|B01AB05|Enoxaparin|WHO Collaborating Centre for Drug Statistics Methodology||570779
