encoding,code,code_clean,description,copd_bl,observations
ICD-10,J44.0,J440,Chronic obstructive pulmonary disease with acute lower respiratory infection,1,
ICD-10,J44.1,J441,Chronic obstructive pulmonary disease with (acute) exacerbation,1,
ICD-10,J44.9,J449,"Chronic obstructive pulmonary disease, unspecified",1,
ICD-10,J43.9,J439,"Emphysema, unspecified",1,
ICD-10,J41.0,J410,Simple chronic bronchitis,1,
ICD-10,J41.1,J411,Mucopurulent chronic bronchitis,1,
ICD-10,J41.8,J418,Mixed simple and mucopurulent chronic bronchitis,1,
ICD-10,J42,J42,Unspecified chronic bronchitis,1,
ICD-10,J43.0,J430,Unilateral pulmonary emphysema [MacLeod's syndrome],1,
ICD-10,J43.1,J431,Panlobular emphysema,1,
ICD-10,J43.2,J432,Centrilobular emphysema,1,
ICD-10,J43.8,J438,Other emphysema,1,
ICD-10,J47.0,J470,Bronchiectasis with acute lower respiratory infection,1,
ICD-10,J47.1,J471,Bronchiectasis with (acute) exacerbation,1,
ICD-10,J47.9,J479,"Bronchiectasis, uncomplicated",1,
ICD-10,J68.4,J684,"Chronic respiratory conditions due to chemicals, gases, fumes and vapors",1,
ICD-10,J68.8,J688,"Other respiratory conditions due to chemicals, gases, fumes and vapors",1,
ICD-10,J68.9,J689,"Unspecified respiratory condition due to chemicals, gases, fumes and vapors",1,
ICD-10,Q33.4,Q334,Congenital bronchiectasis,1,
