encoding,code,code_clean,description,hemiplegia_bl,observations
ICD-10,G81.00,G8100,Flaccid hemiplegia affecting unspecified side,1,
ICD-10,G81.01,G8101,Flaccid hemiplegia affecting right dominant side,1,
ICD-10,G81.02,G8102,Flaccid hemiplegia affecting left dominant side,1,
ICD-10,G81.03,G8103,Flaccid hemiplegia affecting right nondominant side,1,
ICD-10,G81.04,G8104,Flaccid hemiplegia affecting left nondominant side,1,
ICD-10,G81.10,G8110,Spastic hemiplegia affecting unspecified side,1,
ICD-10,G81.11,G8111,Spastic hemiplegia affecting right dominant side,1,
ICD-10,G81.12,G8112,Spastic hemiplegia affecting left dominant side,1,
ICD-10,G81.13,G8113,Spastic hemiplegia affecting right nondominant side,1,
ICD-10,G81.14,G8114,Spastic hemiplegia affecting left nondominant side,1,
ICD-10,G81.90,G8190,"Hemiplegia, unspecified affecting unspecified side",1,
ICD-10,G81.91,G8191,"Hemiplegia, unspecified affecting right dominant side",1,
ICD-10,G81.92,G8192,"Hemiplegia, unspecified affecting left dominant side",1,
ICD-10,G81.93,G8193,"Hemiplegia, unspecified affecting right nondominant side",1,
ICD-10,G81.94,G8194,"Hemiplegia, unspecified affecting left nondominant side",1,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
