encoding,code,code_clean,description,p_type_cd,d_type_cd,observations
ICD-10,0QS604Z,0QS604Z,"Reposition of right proximal femur with internal fixation device, open approach",FFEM,,
ICD-10,0QS605Z,0QS605Z,"Reposition of right proximal femur with external fixation device, open approach",FFEM,,
ICD-10,0QS606Z,0QS606Z,"Reposition of right proximal femur with intramedullary internal fixation device, open approach",FFEM,,
ICD-10,0QS60BZ,0QS60BZ,"Reposition of right proximal femur with monoplane external fixation device, open approach",FFEM,,
ICD-10,0QS60CZ,0QS60CZ,"Reposition of right proximal femur with ring external fixation device, open approach",FFEM,,
ICD-10,0QS60DZ,0QS60DZ,"Reposition of right proximal femur with hybrid external fixation device, open approach",FFEM,,
ICD-10,0QS60ZZ,0QS60ZZ,"Reposition of right proximal femur, open approach",FFEM,,
ICD-10,0QS634Z,0QS634Z,"Reposition of right proximal femur with internal fixation device, percutaneous approach",FFEM,,
ICD-10,0QS635Z,0QS635Z,"Reposition of right proximal femur with external fixation device, percutaneous approach",FFEM,,
ICD-10,0QS636Z,0QS636Z,"Reposition of right proximal femur with intramedullary internal fixation device, percutaneous approach",FFEM,,
ICD-10,0QS63BZ,0QS63BZ,"Reposition of right proximal femur with monoplane external fixation device, percutaneous approach",FFEM,,
ICD-10,0QS63CZ,0QS63CZ,"Reposition of right proximal femur with ring external fixation device, percutaneous approach",FFEM,,
ICD-10,0QS63DZ,0QS63DZ,"Reposition of right proximal femur with hybrid external fixation device, percutaneous approach",FFEM,,
ICD-10,0QS63ZZ,0QS63ZZ,"Reposition of right proximal femur, percutaneous approach",FFEM,,
ICD-10,0QS644Z,0QS644Z,"Reposition of right proximal femur with internal fixation device, percutaneous endoscopic approach",FFEM,,
ICD-10,0QS645Z,0QS645Z,"Reposition of right proximal femur with external fixation device, percutaneous endoscopic approach",FFEM,,
ICD-10,0QS646Z,0QS646Z,"Reposition of right proximal femur with intramedullary internal fixation device, percutaneous endoscopic approach",FFEM,,
ICD-10,0QS64BZ,0QS64BZ,"Reposition of right proximal femur with monoplane external fixation device, percutaneous endoscopic approach",FFEM,,
ICD-10,0QS64CZ,0QS64CZ,"Reposition of right proximal femur with ring external fixation device, percutaneous endoscopic approach",FFEM,,
ICD-10,0QS64DZ,0QS64DZ,"Reposition of right proximal femur with hybrid external fixation device, percutaneous endoscopic approach",FFEM,,
ICD-10,0QS64ZZ,0QS64ZZ,"Reposition of right proximal femur, percutaneous endoscopic approach",FFEM,,
ICD-10,0QS6XZZ,0QS6XZZ,"Reposition of right proximal femur, external approach",FFEM,,
