encoding,code,code_clean,description,lymph_bl,observations
ICD-10,C81.0%,C810%,"Classical Hodgkin lymphoma, unspecified site, unspecified histology",1,
ICD-10,C81.1%,C811%,"Nodular sclerosis Hodgkin lymphoma, unspecified site",1,
ICD-10,C81.2%,C812%,"Mixed cellularity Hodgkin lymphoma, unspecified site",1,
ICD-10,C81.3%,C813%,"Lymphocyte-rich Hodgkin lymphoma, unspecified site",1,
ICD-10,C81.4%,C814%,"Lymphocyte-depleted Hodgkin lymphoma, unspecified site",1,
ICD-10,C81.9%,C819%,"Hodgkin lymphoma, unspecified, unspecified site",1,
ICD-10,C82.0%,C820%,"Follicular lymphoma, unspecified grade, unspecified site",1,
ICD-10,C82.1%,C821%,"Follicular lymphoma grade I, unspecified site",1,
ICD-10,C82.2%,C822%,"Follicular lymphoma grade II, unspecified site",1,
ICD-10,C82.3%,C823%,"Follicular lymphoma grade III, unspecified site",1,
ICD-10,C82.9%,C829%,"Follicular lymphoma, unspecified, unspecified site",1,
ICD-10,C83.0%,C830%,"Small cell B-cell lymphoma, unspecified site",1,
ICD-10,C83.1%,C831%,"Mantle cell lymphoma, unspecified site",1,
ICD-10,C83.2%,C832%,"Marginal zone B-cell lymphoma, unspecified site",1,
ICD-10,C83.3%,C833%,"Lymphoplasmacytic lymphoma, unspecified site",1,
ICD-10,C83.4%,C834%,"Hairy cell leukemia, unspecified site",1,
ICD-10,C83.5%,C835%,"Anaplastic large cell lymphoma, ALK-positive, unspecified site",1,
ICD-10,C83.6%,C836%,"Anaplastic large cell lymphoma, ALK-negative, unspecified site",1,
ICD-10,C83.7%,C837%,"Burkitt lymphoma, unspecified site",1,
ICD-10,C83.8%,C838%,"Other non-follicular lymphoma, unspecified site",1,
ICD-10,C83.9%,C839%,"Non-follicular lymphoma, unspecified, unspecified site",1,
ICD-10,C84.0%,C840%,"Mycosis fungoides, unspecified site",1,
ICD-10,C84.1%,C841%,"Sézary disease, unspecified site",1,
ICD-10,C84.8%,C848%,"Other mature T/NK-cell lymphomas, unspecified site",1,
ICD-10,C84.9%,C849%,"Mature T/NK-cell lymphoma, unspecified, unspecified site",1,
ICD-10,C85.1%,C851%,"B-cell lymphoma, unspecified, unspecified site",1,
ICD-10,C85.8%,C858%,"Other specified types of non-Hodgkin lymphoma, unspecified site",1,
ICD-10,C85.9%,C859%,"Non-Hodgkin lymphoma, unspecified, unspecified site",1,
ICD-10,C86.0%,C860%,"Other specified types of T/NK-cell lymphoma, unspecified site",1,
ICD-10,C86.1%,C861%,"Angioimmunoblastic T-cell lymphoma, unspecified site",1,
ICD-10,C86.2%,C862%,"Enteropathy-type T-cell lymphoma, unspecified site",1,
ICD-10,C86.3%,C863%,"Subcutaneous panniculitis-like T-cell lymphoma, unspecified site",1,
ICD-10,C86.4%,C864%,"Blastic NK-cell lymphoma, unspecified site",1,
ICD-10,C86.9%,C869%,"Other specified types of T/NK-cell lymphoma, unspecified site",1,
ICD-10,C88.0%,C880%,Waldenström macroglobulinemia,1,
ICD-10,C88.9%,C889%,"Other immunoproliferative diseases, unspecified site",1,
