encoding|code_clean|description|source|observations|alternative_code_cnf
atc|B02BD05|coagulation factor VII|WHO Collaborating Centre for Drug Statistics Methodology||000128
atc|B02BD04|coagulation factor IX|WHO Collaborating Centre for Drug Statistics Methodology||000180
atc|B03AC|Iron, parenteral preparations|WHO Collaborating Centre for Drug Statistics Methodology||000420
atc|B02BD30|thrombin|WHO Collaborating Centre for Drug Statistics Methodology||000675
atc|B02BD07|coagulation factor XIII|WHO Collaborating Centre for Drug Statistics Methodology||000821
atc|B03BB01|folic acid|WHO Collaborating Centre for Drug Statistics Methodology||010925
atc|B02BD13|coagulation factor X|WHO Collaborating Centre for Drug Statistics Methodology||011318
atc|B02AB04|Camostat|WHO Collaborating Centre for Drug Statistics Methodology||013200
atc|B02AA02|Tranexamic acid|WHO Collaborating Centre for Drug Statistics Methodology||016085
atc|B02AA02|Tranexamic acid|WHO Collaborating Centre for Drug Statistics Methodology||016259
atc|B02AA02|Tranexamic acid|WHO Collaborating Centre for Drug Statistics Methodology||016320
atc|B03XA06|luspatercept|WHO Collaborating Centre for Drug Statistics Methodology||016520
atc|B03XA06|luspatercept|WHO Collaborating Centre for Drug Statistics Methodology||016521
atc|B01AC06|Acetylsalicylic acid|WHO Collaborating Centre for Drug Statistics Methodology||017301
atc|B02AA02|Tranexamic acid|WHO Collaborating Centre for Drug Statistics Methodology||017509
atc|B02AA02|Tranexamic acid|WHO Collaborating Centre for Drug Statistics Methodology||018622
atc|B03AC|Iron, parenteral preparations|WHO Collaborating Centre for Drug Statistics Methodology||018659
atc|B03BA01|cyanocobalamin|WHO Collaborating Centre for Drug Statistics Methodology||140025
atc|B03AE03|iron and multivitamins|WHO Collaborating Centre for Drug Statistics Methodology||174511
atc|B03BA01|cyanocobalamin|WHO Collaborating Centre for Drug Statistics Methodology||193035
atc|B03AA07|ferrous sulfate|WHO Collaborating Centre for Drug Statistics Methodology||201483
atc|B03BB01|folic acid|WHO Collaborating Centre for Drug Statistics Methodology||550333
atc|B03AC|Iron, parenteral preparations|WHO Collaborating Centre for Drug Statistics Methodology||552364
atc|B01AF02|Apixaban|WHO Collaborating Centre for Drug Statistics Methodology||560301
