cnh_cd,aacc_cd,coding_nm,size_nm,teaching_bl
80370,ES41,57767.14,592,True
230195,ES21,981.11,176,True
400045,ES22,76313.4,676,False
290075,ES22,88023.88,1186,False
450089,ES21,11001.12,588,True
81430,ES22,46482.3,1319,False
410496,ES61,2284.3,531,False
81075,ES70,2076.44,1038,False
460109,ES12,84976.79,821,False
350265,ES70,63471.78,615,False
70366,ES63,60758.19,686,False
281315,ES61,11965.23,1183,False
81017,ES24,93508.14,1075,True
440033,ES41,1916.64,144,True
410409,ES70,63799.31,1246,False
430173,ES13,8462.85,1096,True
280920,ES53,70921.59,370,False
100073,ES11,8987.76,1287,True
80734,ES11,88490.11,172,True
460109,ES53,67507.74,233,False
380099,ES12,6024.34,267,False
330156,ES63,72932.8,699,True
281113,ES41,84493.38,1160,False
81964,ES43,63050.45,135,True
330387,ES22,34924.31,832,True
120115,ES23,85915.25,1254,True
260048,ES24,59426.67,1475,False
350173,ES30,87216.2,760,False
300275,ES70,66597.9,589,False
280357,ES13,757.42,1073,False
380295,ES41,18844.9,1345,False
330045,ES70,61974.84,575,False
30279,ES70,49459.21,470,False
280534,ES53,7100.9,1126,True
110223,ES22,77008.63,1212,True
480097,ES21,21496.9,849,False
330332,ES11,73050.27,1155,False
480216,ES23,18906.3,177,False
280357,ES22,45381.98,1070,False
240093,ES62,14534.67,786,False
380027,ES11,18511.85,1157,False
240074,ES63,40028.58,1394,False
60242,ES41,5189.53,1083,False
170059,ES61,36278.84,1128,False
60172,ES21,5269.22,297,False
380316,ES11,35608.19,384,False
340053,ES24,39357.19,1438,True
290228,ES61,60883.5,912,True
80180,ES43,73807.49,723,False
280127,ES30,45821.63,334,True
81762,ES61,44788.74,209,False
81458,ES63,61357.6,1194,True
80266,ES52,5941.6,1417,True
30036,ES30,77976.21,1347,True
280604,ES42,57618.93,194,True
300050,ES13,68054.56,242,False
140044,ES51,38755.35,1279,True
50072,ES23,16236.99,1175,False
290075,ES21,24329.53,1194,False
380276,ES12,57155.98,1434,True
240212,ES23,15658.67,972,True
160053,ES23,13512.62,757,False
430120,ES43,49390.84,1070,True
81075,ES51,33485.82,336,False
70162,ES23,25088.44,1146,True
81762,ES21,14176.89,465,True
60264,ES41,91767.2,73,True
281146,ES23,76076.34,638,True
300269,ES11,20296.92,578,False
450089,ES63,42400.57,522,True
200163,ES21,94461.9,371,False
180055,ES12,10288.5,330,False
90085,ES13,28069.6,329,False
80291,ES22,37504.4,1380,True
81661,ES51,28756.64,1090,True
82257,ES42,11490.89,180,True
270076,ES51,41547.39,1178,False
130128,ES11,60402.8,85,False
170062,ES53,76674.32,1067,False
