encoding,code,code_clean,description,ami_bl,observations
ICD-10,I21.0,I210,ST elevation (STEMI) myocardial infarction of anterior wall,1,
ICD-10,I21.01,I2101,ST elevation (STEMI) myocardial infarction involving left main coronary artery,1,
ICD-10,I21.02,I2102,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,1,
ICD-10,I21.09,I2109,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,1,
ICD-10,I21.1,I211,ST elevation (STEMI) myocardial infarction of inferior wall,1,
ICD-10,I21.11,I2111,ST elevation (STEMI) myocardial infarction involving right coronary artery,1,
ICD-10,I21.19,I2119,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,1,
ICD-10,I21.2,I212,ST elevation (STEMI) myocardial infarction of other sites,1,
ICD-10,I21.21,I2121,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,1,
ICD-10,I21.29,I2129,ST elevation (STEMI) myocardial infarction involving other sites,1,
ICD-10,I21.3,I213,ST elevation (STEMI) myocardial infarction of unspecified site,1,
ICD-10,I21.4,I214,Non-ST elevation (NSTEMI) myocardial infarction,1,
ICD-10,I21.9,I219,"Acute myocardial infarction, unspecified",1,
ICD-10,I21.A,I21A,Other type of myocardial infarction,1,
ICD-10,I21.A1,I21A1,Myocardial infarction type 2,1,
ICD-10,I21.A9,I21A9,Other myocardial infarction type,1,
ICD-10,I21.B,I21B,Myocardial infarction with coronary microvascular dysfunction,1,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
