encoding,code,code_clean,description,dementia_bl,observations
ICD-10,A81.00,A8100,"Creutzfeldt-Jakob disease, unspecified",1,
ICD-10,A81.01,A8101,Variant Creutzfeldt-Jakob disease,1,
ICD-10,A81.09,A8109,Other Creutzfeldt-Jakob disease,1,
ICD-10,A81.1,A811,Subacute sclerosing panencephalitis,1,
ICD-10,A81.2,A812,Progressive multifocal leukoencephalopathy,1,
ICD-10,A81.81,A8181,Kuru,1,
ICD-10,A81.82,A8182,Gerstmann-Str�ussler-Scheinker syndrome,1,
ICD-10,A81.83,A8183,Fatal familial insomnia,1,
ICD-10,A81.89,A8189,Other atypical virus infections of central nervous system,1,
ICD-10,A81.9,A819,"Atypical virus infection of central nervous system, unspecified",1,
ICD-10,E75.02,E7502,Tay-Sachs disease,1,
ICD-10,E75.19,E7519,Other gangliosidosis,1,
ICD-10,E75.23,E7523,Krabbe disease,1,
ICD-10,E75.25,E7525,Metachromatic leukodystrophy,1,
ICD-10,E75.29,E7529,Other sphingolipidosis,1,
ICD-10,E75.4,E754,Neuronal ceroid lipofuscinosis,1,
ICD-10,F01.50,F0150,"Vascular dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",1,
ICD-10,F01.511,F01511,"Vascular dementia, unspecified severity, with agitation",1,
ICD-10,F01.518,F01518,"Vascular dementia, unspecified severity, with other behavioral disturbance",1,
ICD-10,F01.52,F0152,"Vascular dementia, unspecified severity, with other behavioral disturbance with psychotic disturbance",1,
ICD-10,F01.53,F0153,"Vascular dementia, unspecified severity, with other behavioral disturbance with mood disturbance",1,
ICD-10,F01.54,F0154,"Vascular dementia, unspecified severity, with other behavioral disturbance with anxiety",1,
ICD-10,F01.A0,F01A0,"Vascular dementia, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",1,
ICD-10,F01.A11,F01A11,"Vascular dementia, mild, with agitation",1,
ICD-10,F01.A18,F01A18,"Vascular dementia, mild, with other behavioral disturbance",1,
ICD-10,F01.A2,F01A2,"Vascular dementia, mild, with other behavioral disturbance with psychotic disturbance",1,
ICD-10,F01.A3,F01A3,"Vascular dementia, mild, with other behavioral disturbance with mood disturbance",1,
ICD-10,F01.A4,F01A4,"Vascular dementia, mild, with other behavioral disturbance with anxiety",1,
ICD-10,F01.B0,F01B0,"Vascular dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",1,
ICD-10,F01.B11,F01B11,"Vascular dementia, moderate, with agitation",1,
ICD-10,F01.B18,F01B18,"Vascular dementia, moderate, with other behavioral disturbance",1,
ICD-10,F01.B2,F01B2,"Vascular dementia, moderate, with other behavioral disturbance with psychotic disturbance",1,
ICD-10,F01.B3,F01B3,"Vascular dementia, moderate, with other behavioral disturbance with mood disturbance",1,
ICD-10,F01.B4,F01B4,"Vascular dementia, moderate, with other behavioral disturbance with anxiety",1,
ICD-10,F01.C0,F01C0,"Vascular dementia, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",1,
ICD-10,F01.C11,F01C11,"Vascular dementia, severe, with agitation",1,
