"encoding","code","code_clean","description","leuk_bl","observations"
"ICD-10","C91.00","C9100","Leucemia linfoblástica aguda sin haber alcanzado remisión",1,
"ICD-10","C91.01","C9101","Leucemia linfoblástica aguda en remisión",1,
"ICD-10","C91.02","C9102","Leucemia linfoblástica aguda en recidiva",1,
"ICD-10","C91.10","C9110","Leucemia linfocítica crónica de células B sin haber alcanzado remisión",1,
"ICD-10","C91.11","C9111","Leucemia linfocítica crónica de células B en remisión",1,
"ICD-10","C91.12","C9112","Leucemia linfocítica crónica de células B en recidiva",1,
"ICD-10","C91.30","C9130","Leucemia prolinfocítica de células B sin haber alcanzado remisión",1,
"ICD-10","C91.31","C9131","Leucemia prolinfocítica de células B en remisión",1,
"ICD-10","C91.32","C9132","Leucemia prolinfocítica de células B en recidiva",1,
"ICD-10","C91.40","C9140","Leucemia de células peludas sin haber alcanzado remisión",1,
"ICD-10","C91.41","C9141","Leucemia de células peludas en remisión",1,
"ICD-10","C91.42","C9142","Leucemia de células peludas en recidiva",1,
"ICD-10","C91.50","C9150","Linfoma/leucemia de células T del adulto (asociado a HTLV-1) sin haber alcanzado remisión",1,
"ICD-10","C91.51","C9151","Linfoma/leucemia de células T del adulto (asociado a HTLV-1) en remisión",1,
"ICD-10","C91.52","C9152","Linfoma/leucemia de células T del adulto (asociado a HTLV-1) en recidiva",1,
"ICD-10","C91.60","C9160","Leucemia prolinfocítica tipo células T sin haber alcanzado remisión",1,
"ICD-10","C91.61","C9161","Leucemia prolinfocítica tipo células T en remisión",1,
"ICD-10","C91.62","C9162","Leucemia prolinfocítica tipo células T en recidiva",1,
"ICD-10","C91.A0","C91A0","Leucemia de células B maduras tipo Burkitt sin haber alcanzado remisión",1,
"ICD-10","C91.A1","C91A1","Leucemia de células B maduras tipo Burkitt en remisión",1,
"ICD-10","C91.A2","C91A2","Leucemia de células B maduras tipo Burkitt en recidiva",1,
"ICD-10","C91.Z0","C91Z0","Otros tipos de leucemia linfoide sin haber alcanzado remisión",1,
"ICD-10","C91.Z1","C91Z1","Otros tipos de leucemia linfoide en remisión",1,
"ICD-10","C91.Z2","C91Z2","Otros tipos de leucemia linfoide en recidiva",1,
"ICD-10","C91.90","C9190","Leucemia linfoide no especificada sin haber alcanzado remisión",1,
"ICD-10","C91.91","C9191","Leucemia linfoide no especificada en remisión",1,
"ICD-10","C91.92","C9192","Leucemia linfoide no especificada en recidiva",1,
"ICD-10","C91.0","C910","Leucemia linfoblástica aguda [LLA]",1,
"ICD-10","C91.1","C911","Leucemia linfocítica crónica de células B",1,
"ICD-10","C91.3","C913","Leucemia prolinfocítica de tipo células B",1,
"ICD-10","C91.4","C914","Leucemia de células peludas",1,
"ICD-10","C91.5","C915","Linfoma/leucemia de células T del adulto (asociado a HTLV-1)",1,
"ICD-10","C91.6","C916","Leucemia prolinfocítica tipo células T",1,
"ICD-10","C91.A","C91A","Leucemia de células B maduras tipo Burkitt",1,
"ICD-10","C91.Z","C91Z","Otros tipos de leucemia linfoide",1,
"ICD-10","C91.9","C919","Leucemia linfoide no especificada",1,
"ICD-10","C91","C91","Leucemia linfoide",1,
"ICD-10","C92.00","C9200","Leucemia mieloblástica aguda sin haber alcanzado remisión",1,
"ICD-10","C92.01","C9201","Leucemia mieloblástica aguda en remisión",1,
"ICD-10","C92.02","C9202","Leucemia mieloblástica aguda en recidiva",1,
"ICD-10","C92.10","C9210","Leucemia mieloide crónica BCR/ABL positiva sin haber alcanzado remisión",1,
"ICD-10","C92.11","C9211","Leucemia mieloide crónica BCR/ABL positiva en remisión",1,
"ICD-10","C92.12","C9212","Leucemia mieloide crónica BCR/ABL positiva en recidiva",1,
"ICD-10","C92.20","C9220","Leucemia mieloide crónica atípica BCR/ABL negativa sin haber alcanzado remisión",1,
"ICD-10","C92.21","C9221","Leucemia mieloide crónica atípica BCR/ABL negativa en remisión",1,
"ICD-10","C92.22","C9222","Leucemia mieloide crónica atípica BCR/ABL negativa en recidiva",1,
"ICD-10","C92.30","C9230","Sarcoma mieloide sin haber alcanzado remisión",1,
"ICD-10","C92.31","C9231","Sarcoma mieloide en remisión",1,
"ICD-10","C92.32","C9232","Sarcoma mieloide en recidiva",1,
"ICD-10","C92.40","C9240","Leucemia aguda promielocítica sin haber alcanzado remisión",1,
"ICD-10","C92.41","C9241","Leucemia promielocítica aguda en remisión",1,
"ICD-10","C92.42","C9242","Leucemia promielocítica aguda en recidiva",1,
"ICD-10","C92.50","C9250","Leucemia mielomonocítica aguda sin haber alcanzado remisión",1,
"ICD-10","C92.51","C9251","Leucemia mielomonocítica aguda en remisión",1,
"ICD-10","C92.52","C9252","Leucemia mielomonocítica aguda en recidiva",1,
"ICD-10","C92.60","C9260","Leucemia mieloide aguda con anomalía 11q23 sin haber alcanzado remisión",1,
"ICD-10","C92.61","C9261","Leucemia mieloide aguda con anomalía 11q23 en remisión",1,
