"encoding","code","code_clean","description","lymph_bl","observations"
"ICD-10","C82.10","C8210","Linfoma folicular grado II localización no especificada",1,
"ICD-10","C82.11","C8211","Linfoma folicular grado II ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C82.12","C8212","Linfoma folicular grado II ganglios linfáticos intratorácicos",1,
"ICD-10","C82.13","C8213","Linfoma folicular grado II ganglios linfáticos intraabdominales",1,
"ICD-10","C82.14","C8214","Linfoma folicular grado II ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C82.15","C8215","Linfoma folicular grado II ganglios linfáticos de región inguinal y miembro inferior",1,
"ICD-10","C82.16","C8216","Linfoma folicular grado II ganglios linfáticos intrapélvicos",1,
"ICD-10","C82.17","C8217","Linfoma folicular grado II bazo",1,
"ICD-10","C82.18","C8218","Linfoma folicular grado II ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C82.19","C8219","Linfoma folicular grado II localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C82.20","C8220","Linfoma folicular grado III no especificado localización no especificada",1,
"ICD-10","C82.21","C8221","Linfoma folicular grado III no especificado ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C82.22","C8222","Linfoma folicular grado III no especificado ganglios linfáticos intratorácicos",1,
"ICD-10","C82.23","C8223","Linfoma folicular grado III no especificado ganglios linfáticos intraabdominales",1,
"ICD-10","C82.24","C8224","Linfoma folicular grado III no especificado ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C82.25","C8225","Linfoma folicular grado III no especificado ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C82.26","C8226","Linfoma folicular grado III no especificado ganglios intrapélvicos",1,
"ICD-10","C82.27","C8227","Linfoma folicular grado III no especificado bazo",1,
"ICD-10","C82.28","C8228","Linfoma folicular grado III no especificado ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C82.29","C8229","Linfoma folicular grado III no especificado localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C82.30","C8230","Linfoma folicular grado IIIa localización no especificada",1,
"ICD-10","C82.31","C8231","Linfoma folicular grado IIIa ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C82.32","C8232","Linfoma folicular grado IIIa ganglios linfáticos intratorácicos",1,
"ICD-10","C82.33","C8233","Linfoma folicular grado IIIa ganglios linfáticos intraabdominales",1,
"ICD-10","C82.34","C8234","Linfoma folicular grado IIIa ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C82.35","C8235","Linfoma folicular grado IIIa ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C82.36","C8236","Linfoma folicular grado IIIa ganglios linfáticos intrapélvicos",1,
"ICD-10","C82.37","C8237","Linfoma folicular grado IIIa bazo",1,
"ICD-10","C82.38","C8238","Linfoma folicular grado IIIa ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C82.39","C8239","Linfoma folicular grado IIIa localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C82.40","C8240","Linfoma folicular grado IIIb localización no especificada",1,
"ICD-10","C82.41","C8241","Linfoma folicular grado IIIb ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C82.42","C8242","Linfoma folicular grado IIIb ganglios linfáticos intratorácicos",1,
"ICD-10","C82.43","C8243","Linfoma folicular grado IIIb ganglios linfáticos intraabdominales",1,
"ICD-10","C82.44","C8244","Linfoma folicular grado IIIb ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C82.45","C8245","Linfoma folicular grado IIIb ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C82.46","C8246","Linfoma folicular grado IIIb ganglios linfáticos intrapélvicos",1,
"ICD-10","C82.47","C8247","Linfoma folicular grado IIIb bazo",1,
"ICD-10","C82.48","C8248","Linfoma folicular grado IIIb ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C82.49","C8249","Linfoma folicular grado IIIb localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C82.90","C8290","Linfoma folicular no especificado localización no especificada",1,
"ICD-10","C82.91","C8291","Linfoma folicular no especificado ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C82.92","C8292","Linfoma folicular no especificado ganglios linfáticos intratorácicos",1,
"ICD-10","C82.93","C8293","Linfoma folicular no especificado ganglios linfáticos intraabdominales",1,
"ICD-10","C82.94","C8294","Linfoma folicular no especificado ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C82.95","C8295","Linfoma folicular no especificado ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C82.96","C8296","Linfoma folicular no especificado ganglios linfáticos intrapélvicos",1,
"ICD-10","C82.97","C8297","Linfoma folicular no especificado bazo",1,
"ICD-10","C82.98","C8298","Linfoma folicular no especificado ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C82.99","C8299","Linfoma folicular no especificado localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C82.1","C821","Linfoma folicular grado II",1,
"ICD-10","C82.2","C822","Linfoma folicular grado III no especificado",1,
"ICD-10","C82.3","C823","Linfoma folicular grado IIIa",1,
"ICD-10","C82.4","C824","Linfoma folicular grado IIIb",1,
"ICD-10","C82.9","C829","Linfoma folicular no especificado",1,
"ICD-10","C84.00","C8400","Micosis fungoide localización no especificada",1,
"ICD-10","C84.01","C8401","Micosis fungoide ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C84.02","C8402","Micosis fungoide ganglios linfáticos intratorácicos",1,
"ICD-10","C84.03","C8403","Micosis fungoide ganglios linfáticos intraabdominales",1,
"ICD-10","C84.04","C8404","Micosis fungoide ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C84.05","C8405","Micosis fungoide ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C84.06","C8406","Micosis fungoide ganglios linfáticos intrapélvicos",1,
"ICD-10","C84.07","C8407","Micosis fungoide bazo",1,
"ICD-10","C84.08","C8408","Micosis fungoide ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C84.09","C8409","Micosis fungoide localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C84.10","C8410","Síndrome de Sézary localización no especificada",1,
"ICD-10","C84.11","C8411","Síndrome de Sézary ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C84.12","C8412","Síndrome de Sézary ganglios linfáticos intratorácicos",1,
"ICD-10","C84.13","C8413","Síndrome de Sézary ganglios linfáticos intraabdominales",1,
"ICD-10","C84.14","C8414","Síndrome de Sézary ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C84.15","C8415","Síndrome de Sézary ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C84.16","C8416","Síndrome de Sézary ganglios linfáticos intrapélvicos",1,
"ICD-10","C84.17","C8417","Síndrome de Sézary bazo",1,
"ICD-10","C84.18","C8418","Síndrome de Sézary ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C84.19","C8419","Síndrome de Sézary localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C84.A0","C84A0","Linfoma cutáneo de células T no especificado localización no especificada",1,
"ICD-10","C84.A1","C84A1","Linfoma cutáneo de células T no especificado ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C84.A2","C84A2","Linfoma cutáneo de células T no especificado ganglios linfáticos intratorácicos",1,
"ICD-10","C84.A3","C84A3","Linfoma cutáneo de células T no especificado ganglios linfáticos intraabdominales",1,
"ICD-10","C84.A4","C84A4","Linfoma cutáneo de células T no especificado ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C84.A5","C84A5","Linfoma cutáneo de células T no especificado ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C84.A6","C84A6","Linfoma cutáneo de células T no especificado ganglios linfáticos intrapélvicos",1,
"ICD-10","C84.A7","C84A7","Linfoma cutáneo de células T no especificado bazo",1,
"ICD-10","C84.A8","C84A8","Linfoma cutáneo de células T no especificado ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C84.A9","C84A9","Linfoma cutáneo de células T no especificado localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C84.Z0","C84Z0","Otros linfomas de células T/NK maduras localización no especificada",1,
"ICD-10","C84.Z1","C84Z1","Otros linfomas de células T/NK maduras ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C84.Z2","C84Z2","Otros linfomas de células T/NK maduras ganglios linfáticos intratorácicos",1,
"ICD-10","C84.Z3","C84Z3","Otros linfomas de células T/NK maduras ganglios linfáticos intraabdominales",1,
"ICD-10","C84.Z4","C84Z4","Otros linfomas de células T/NK maduras ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C84.Z5","C84Z5","Otros linfomas de células T/NK maduras ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C84.Z6","C84Z6","Otros linfomas de células T/NK maduras ganglios linfáticos intrapélvicos",1,
"ICD-10","C84.Z7","C84Z7","Otros linfomas de células T/NK maduras bazo",1,
"ICD-10","C84.Z8","C84Z8","Otros linfomas de células T/NK maduras ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C84.Z9","C84Z9","Otros linfomas de células T/NK maduras localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C84.0","C840","Micosis fungoide",1,
"ICD-10","C84.1","C841","Enfermedad de Sézary",1,
"ICD-10","C84.A","C84A","Linfoma cutáneo de células T no especificado",1,
"ICD-10","C84.Z","C84Z","Otros linfomas de células T/NK maduras",1,
"ICD-10","C88.0","C880","Macroglobulinemia de Waldenström",1,
"ICD-10","C88.9","C889","Enfermedad inmunoproliferativa maligna no especificada",1,
"ICD-10","C86.0","C860","Linfoma extraganglionar de células NK/T tipo nasal",1,
"ICD-10","C86.1","C861","Linfoma de células T hepatoesplénico",1,
"ICD-10","C86.2","C862","Linfoma de células T tipo enteropatía (intestinal)",1,
"ICD-10","C86.3","C863","Linfoma de células T subcutáneo tipo paniculitis",1,
"ICD-10","C86.4","C864","Linfoma de células NK blásticas",1,
