"encoding","code","code_clean","description","mtx_bl","observations"
"ICD-10","C78.00","C7800","Neoplasia maligna secundaria de pulmón no especificado",1,
"ICD-10","C78.01","C7801","Neoplasia maligna secundaria de pulmón derecho",1,
"ICD-10","C78.02","C7802","Neoplasia maligna secundaria de pulmón izquierdo",1,
"ICD-10","C78.30","C7830","Neoplasia maligna secundaria de órgano respiratorio no especificado",1,
"ICD-10","C78.39","C7839","Neoplasia maligna secundaria de otros órganos respiratorios",1,
"ICD-10","C78.80","C7880","Neoplasia maligna secundaria de órganos digestivos no especificados",1,
"ICD-10","C78.89","C7889","Neoplasia maligna secundaria de otros órganos del aparato digestivo",1,
"ICD-10","C78.0","C780","Neoplasia maligna secundaria de pulmón",1,
"ICD-10","C78.1","C781","Neoplasia maligna secundaria de mediastino",1,
"ICD-10","C78.2","C782","Neoplasia maligna secundaria de pleura",1,
"ICD-10","C78.3","C783","Neoplasia maligna secundaria de otros órganos respiratorios y los no especificados",1,
"ICD-10","C78.4","C784","Neoplasia maligna secundaria de intestino delgado",1,
"ICD-10","C78.5","C785","Neoplasia maligna secundaria de intestino grueso y recto",1,
"ICD-10","C78.6","C786","Neoplasia maligna secundaria de retroperitoneo y peritoneo",1,
"ICD-10","C78.7","C787","Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas",1,
"ICD-10","C78.8","C788","Neoplasia maligna secundaria de otros órganos digestivos y los no especificados",1,
"ICD-10","C78","C78","Neoplasia maligna secundaria de órganos respiratorios y digestivos",1,
"ICD-10","C79.00","C7900","Neoplasia maligna secundaria de riñón y pelvis renal no especificados",1,
"ICD-10","C79.01","C7901","Neoplasia maligna secundaria de riñón y pelvis renal derechos",1,
"ICD-10","C79.02","C7902","Neoplasia maligna secundaria de riñón y pelvis renal izquierdos",1,
"ICD-10","C79.10","C7910","Neoplasia maligna secundaria de órganos urinarios no especificados",1,
"ICD-10","C79.11","C7911","Neoplasia maligna secundaria de vejiga",1,
"ICD-10","C79.19","C7919","Neoplasia maligna secundaria de otros órganos urinarios",1,
"ICD-10","C79.31","C7931","Neoplasia maligna secundaria de cerebro",1,
"ICD-10","C79.32","C7932","Neoplasia maligna secundaria de meninges cerebrales",1,
"ICD-10","C79.40","C7940","Neoplasia maligna secundaria de parte no especificada del sistema nervioso",1,
"ICD-10","C79.49","C7949","Neoplasia maligna secundaria de otras partes del sistema nervioso",1,
"ICD-10","C79.51","C7951","Neoplasia maligna secundaria de hueso",1,
"ICD-10","C79.52","C7952","Neoplasia maligna secundaria de médula ósea",1,
"ICD-10","C79.60","C7960","Neoplasia maligna secundaria de ovario no especificado",1,
"ICD-10","C79.61","C7961","Neoplasia maligna secundaria de ovario derecho",1,
"ICD-10","C79.62","C7962","Neoplasia maligna secundaria de ovario izquierdo",1,
"ICD-10","C79.70","C7970","Neoplasia maligna secundaria de glándula suprarrenal no especificada",1,
"ICD-10","C79.71","C7971","Neoplasia maligna secundaria de glándula suprarrenal derecha",1,
"ICD-10","C79.72","C7972","Neoplasia maligna secundaria de glándula suprarrenal izquierda",1,
"ICD-10","C79.81","C7981","Neoplasia maligna secundaria de mama",1,
"ICD-10","C79.82","C7982","Neoplasia maligna secundaria de órganos genitales",1,
"ICD-10","C79.89","C7989","Neoplasia maligna secundaria de otras localizaciones especificadas",1,
"ICD-10","C79.0","C790","Neoplasia maligna secundaria de riñón y pelvis renal",1,
"ICD-10","C79.1","C791","Neoplasia maligna secundaria de vejiga otros órganos urinarios y los no especificados",1,
"ICD-10","C79.2","C792","Neoplasia maligna secundaria de piel",1,
"ICD-10","C79.3","C793","Neoplasia maligna secundaria de cerebro y meninges cerebrales",1,
"ICD-10","C79.4","C794","Neoplasia maligna secundaria de otras partes del sistema nervioso y las no especificadas",1,
"ICD-10","C79.5","C795","Neoplasia maligna secundaria de hueso y médula ósea",1,
"ICD-10","C79.6","C796","Neoplasia maligna secundaria de ovario",1,
"ICD-10","C79.7","C797","Neoplasia maligna secundaria de glándula suprarrenal",1,
"ICD-10","C79.8","C798","Neoplasia maligna secundaria de otras localizaciones especificadas",1,
"ICD-10","C79.9","C799","Neoplasia maligna secundaria de localización no especificada",1,
"ICD-10","C79","C79","Neoplasia maligna secundaria de otras localizaciones y las no especificadas",1,
"ICD-10","C77.0","C770","Neoplasia maligna secundaria y no especificada de ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C77.1","C771","Neoplasia maligna secundaria y no especificada de ganglios linfáticos intratorácicos",1,
"ICD-10","C77.2","C772","Neoplasia maligna secundaria y no especificada de ganglios linfáticos intraabdominales",1,
"ICD-10","C77.3","C773","Neoplasia maligna secundaria y no especificada de ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C77.4","C774","Neoplasia maligna secundaria y no especificada de ganglios linfáticos inguinales y de extremidad inferior",1,
"ICD-10","C77.5","C775","Neoplasia maligna secundaria y no especificada de ganglios linfáticos intrapélvicos",1,
"ICD-10","C77.8","C778","Neoplasia maligna secundaria y no especificada de ganglios linfáticos de regiones múltiples",1,
"ICD-10","C77.9","C779","Neoplasia maligna secundaria y no especificada de ganglios linfáticos no especificados",1,
"ICD-10","C77","C77","Neoplasia maligna secundaria y no especificada de ganglios linfáticos",1,
