encoding,code,code_clean,description,orgdiab_bl,observations
ICD-10,E08.21,E0821,Diabetes mellitus due to underlying condition with diabetic nephropathy,1,
ICD-10,E08.22,E0822,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,1,
ICD-10,E08.29,E0829,Diabetes mellitus due to underlying condition with other diabetic kidney complication,1,
ICD-10,E08.311,E08311,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,1,
ICD-10,E08.319,E08319,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,1,
ICD-10,E08.3211,E083211,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E08.3212,E083212,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E08.3213,E083213,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E08.3219,E083219,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E08.3291,E083291,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E08.3292,E083292,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E08.3293,E083293,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E08.3299,E083299,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E08.3311,E083311,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E08.3312,E083312,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E08.3313,E083313,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E08.3319,E083319,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E08.3391,E083391,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E08.3392,E083392,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E08.3393,E083393,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E08.3399,E083399,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E08.3411,E083411,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E08.3412,E083412,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E08.3413,E083413,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E08.3419,E083419,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E08.3491,E083491,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E08.3492,E083492,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E08.3493,E083493,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E08.3499,E083499,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E08.3511,E083511,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E08.3512,E083512,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E08.3513,E083513,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E08.3519,E083519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E08.3521,E083521,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",1,
ICD-10,E08.3522,E083522,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",1,
ICD-10,E08.3523,E083523,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",1,
