"encoding","code","code_clean","description","peptic_bl","observations"
"ICD-10","K25","K25","Úlcera gástrica",1,
"ICD-10","K25.0","K250","Úlcera gástrica aguda con hemorragia",1,
"ICD-10","K25.1","K251","Úlcera gástrica aguda con perforación",1,
"ICD-10","K25.2","K252","Úlcera gástrica aguda con hemorragia y perforación",1,
"ICD-10","K25.3","K253","Úlcera gástrica aguda sin hemorragia ni perforación",1,
"ICD-10","K25.4","K254","Úlcera gástrica crónica o no especificada con hemorragia",1,
"ICD-10","K25.5","K255","Úlcera gástrica crónica o no especificada con perforación",1,
"ICD-10","K25.6","K256","Úlcera gástrica crónica o no especificada con hemorragia y perforación",1,
"ICD-10","K25.7","K257","Úlcera gástrica crónica sin hemorragia ni perforación",1,
"ICD-10","K25.9","K259","Úlcera gástrica no especificada como aguda ni crónica sin hemorragia ni perforación",1,
"ICD-10","K26","K26","Úlcera duodenal",1,
"ICD-10","K26.0","K260","Úlcera duodenal aguda con hemorragia",1,
"ICD-10","K26.1","K261","Úlcera duodenal aguda con perforación",1,
"ICD-10","K26.2","K262","Úlcera duodenal aguda con hemorragia y perforación",1,
"ICD-10","K26.3","K263","Úlcera duodenal aguda sin hemorragia ni perforación",1,
"ICD-10","K26.4","K264","Úlcera duodenal crónica o no especificada con hemorragia",1,
"ICD-10","K26.5","K265","Úlcera duodenal crónica o no especificada con perforación",1,
"ICD-10","K26.6","K266","Úlcera duodenal crónica o no especificada con hemorragia y perforación",1,
"ICD-10","K26.7","K267","Úlcera duodenal crónica sin hemorragia ni perforación",1,
"ICD-10","K26.9","K269","Úlcera duodenal no especificada como aguda ni como crónica sin hemorragia ni perforación",1,
"ICD-10","K27","K27","Úlcera péptica no especificado sitio",1,
"ICD-10","K27.0","K270","Úlcera péptica aguda localización no especificada con hemorragia",1,
"ICD-10","K27.1","K271","Úlcera péptica aguda localización no especificada con perforación",1,
"ICD-10","K27.2","K272","Úlcera péptica aguda localización no especificada con hemorragia y perforación",1,
"ICD-10","K27.3","K273","Úlcera péptica aguda localización no especificada sin hemorragia ni perforación",1,
"ICD-10","K27.4","K274","Úlcera péptica crónica o no especificada localización no especificada con hemorragia",1,
"ICD-10","K27.5","K275","Úlcera péptica crónica o no especificada localización no especificada con perforación",1,
"ICD-10","K27.6","K276","Úlcera péptica crónica o no especificada localización no especificada con ambos hemorragia y perforación",1,
"ICD-10","K27.7","K277","Úlcera péptica crónica localización no especificada sin hemorragia ni perforación",1,
"ICD-10","K27.9","K279","Úlcera péptica localización no especificada no especificada como aguda ni crónica sin hemorragia ni perforación",1,
"ICD-10","K28","K28","Úlcera gastroyeyunal",1,
"ICD-10","K28.0","K280","Úlcera gastroyeyunal aguda con hemorragia",1,
"ICD-10","K28.1","K281","Úlcera gastroyeyunal aguda con perforación",1,
"ICD-10","K28.2","K282","Úlcera gastroyeyunal aguda con hemorragia y perforación",1,
"ICD-10","K28.3","K283","Úlcera gastroyeyunal aguda sin hemorragia y perforación",1,
"ICD-10","K28.4","K284","Úlcera gastroyeyunal crónica o no especificada con hemorragia",1,
"ICD-10","K28.5","K285","Úlcera gastroyeyunal crónica o no especificada con perforación",1,
"ICD-10","K28.6","K286","Úlcera gastroyeyunal crónica o no especificada con hemorragia y perforación",1,
"ICD-10","K28.7","K287","Úlcera gastroyeyunal crónica sin hemorragia ni perforación",1,
"ICD-10","K28.9","K289","Úlcera gastroyeyunal no especificada como aguda ni crónica sin hemorragia ni perforación",1,
