"encoding","code","code_clean","description","tumor_bl","observations"
"ICD-10","C44.1021","C441021","Neoplasia maligna no especificada de piel de párpado superior derecho incluyendo canto",1,
"ICD-10","C44.1022","C441022","Neoplasia maligna no especificada de piel de párpado inferior derecho incluyendo canto",1,
"ICD-10","C44.1091","C441091","Neoplasia maligna no especificada de piel de párpado superior izquierdo incluyendo canto",1,
"ICD-10","C44.1092","C441092","Neoplasia maligna no especificada de piel de párpado inferior izquierdo incluyendo canto",1,
"ICD-10","C44.1121","C441121","Carcinoma basocelular de piel de párpado superior derecho incluyendo canto",1,
"ICD-10","C44.1122","C441122","Carcinoma basocelular de piel de párpado inferior derecho incluyendo canto",1,
"ICD-10","C44.1191","C441191","Carcinoma basocelular de piel de párpado superior izquierdo incluyendo canto",1,
"ICD-10","C44.1192","C441192","Carcinoma basocelular de piel de párpado inferior izquierdo incluyendo canto",1,
"ICD-10","C44.1221","C441221","Carcinoma de células escamosas de piel de párpado superior derecho incluyendo canto",1,
"ICD-10","C44.1222","C441222","Carcinoma de células escamosas de piel de párpado inferior derecho incluyendo canto",1,
"ICD-10","C44.1291","C441291","Carcinoma de células escamosas de piel de párpado superior izquierdo incluyendo canto",1,
"ICD-10","C44.1292","C441292","Carcinoma de células escamosas de piel de párpado inferior izquierdo incluyendo canto",1,
"ICD-10","C44.1321","C441321","Carcinoma de células sebáceas de piel de párpado superior derecho incluyendo canto",1,
"ICD-10","C44.1322","C441322","Carcinoma de células sebáceas de piel de párpado inferior derecho incluyendo canto",1,
"ICD-10","C44.1391","C441391","Carcinoma de células sebáceas de piel de párpado superior izquierdo incluyendo canto",1,
"ICD-10","C44.1392","C441392","Carcinoma de células sebáceas de piel de párpado inferior izquierdo incluyendo canto",1,
"ICD-10","C44.1921","C441921","Otra neoplasia maligna especificada de piel de párpado superior derecho incluyendo canto",1,
"ICD-10","C44.1922","C441922","Otra neoplasia maligna especificada de piel de párpado inferior derecho incluyendo canto",1,
"ICD-10","C44.1991","C441991","Otra neoplasia maligna especificada de piel de párpado superior izquierdo incluyendo canto",1,
"ICD-10","C44.1992","C441992","Otra neoplasia maligna especificada de piel de párpado inferior izquierdo incluyendo canto",1,
"ICD-10","C43.111","C43111","Melanoma maligno de párpado superior derecho incluyendo canto",1,
"ICD-10","C43.112","C43112","Melanoma maligno de párpado inferior derecho incluyendo canto",1,
"ICD-10","C43.121","C43121","Melanoma maligno de párpado superior izquierdo incluyendo canto",1,
"ICD-10","C43.122","C43122","Melanoma maligno de párpado inferior izquierdo incluyendo canto",1,
"ICD-10","C4A.111","C4A111","Carcinoma de células de Merkel de párpado superior derecho incluyendo canto",1,
"ICD-10","C4A.112","C4A112","Carcinoma de células de Merkel de párpado inferior derecho incluyendo canto",1,
"ICD-10","C4A.121","C4A121","Carcinoma de células de Merkel de párpado superior izquierdo incluyendo canto",1,
"ICD-10","C4A.122","C4A122","Carcinoma de células de Merkel de párpado inferior izquierdo incluyendo canto",1,
"ICD-10","C44.101","C44101","Neoplasia maligna no especificada de piel de párpado no especificado incluyendo canto",1,
"ICD-10","C44.102","C44102","Neoplasia maligna no especificada de piel de párpado derecho incluyendo canto",1,
"ICD-10","C44.109","C44109","Neoplasia maligna no especificada de piel de párpado izquierdo incluyendo canto",1,
"ICD-10","C44.111","C44111","Carcinoma basocelular de piel de párpado no especificado incluyendo canto",1,
"ICD-10","C44.112","C44112","Carcinoma basocelular de piel de párpado derecho incluyendo canto",1,
"ICD-10","C44.119","C44119","Carcinoma basocelular de piel de párpado izquierdo incluyendo canto",1,
"ICD-10","C44.121","C44121","Carcinoma de células escamosas de piel de párpado no especificado incluyendo canto",1,
"ICD-10","C44.122","C44122","Carcinoma de células escamosas de piel de párpado derecho incluyendo canto",1,
"ICD-10","C44.129","C44129","Carcinoma de células escamosas de piel de párpado izquierdo incluyendo canto",1,
"ICD-10","C44.131","C44131","Carcinoma de células sebáceas de piel de párpado no especificado incluyendo canto",1,
"ICD-10","C44.132","C44132","Carcinoma de células sebáceas de piel de párpado derecho incluyendo canto",1,
"ICD-10","C44.139","C44139","Carcinoma de células sebáceas de piel de párpado izquierdo incluyendo canto",1,
"ICD-10","C44.191","C44191","Otra neoplasia maligna especificada de piel de párpado no especificado incluyendo canto",1,
"ICD-10","C44.192","C44192","Otra neoplasia maligna especificada de piel de párpado derecho incluyendo canto",1,
"ICD-10","C44.199","C44199","Otra neoplasia maligna especificada de piel de párpado izquierdo incluyendo canto",1,
"ICD-10","C44.201","C44201","Neoplasia maligna no especificada de piel de oído y conducto auditivo externo no especificados",1,
"ICD-10","C44.202","C44202","Neoplasia maligna no especificada de piel de oído y conducto auditivo externo derechos",1,
"ICD-10","C44.209","C44209","Neoplasia maligna no especificada de piel de oído y conducto auditivo externo izquierdos",1,
"ICD-10","C44.211","C44211","Carcinoma basocelular de piel de oído y conducto auditivo externo no especificados",1,
"ICD-10","C44.212","C44212","Carcinoma basocelular de piel de oído y conducto auditivo externo derechos",1,
"ICD-10","C44.219","C44219","Carcinoma basocelular de piel de oído y conducto auditivo externo izquierdos",1,
"ICD-10","C44.221","C44221","Carcinoma de células escamosas de piel de oído y conducto auditivo externo no especificados",1,
"ICD-10","C44.222","C44222","Carcinoma de células escamosas de piel de oído y conducto auditivo externo derechos",1,
"ICD-10","C44.229","C44229","Carcinoma de células escamosas de piel de oído y conducto auditivo externo izquierdos",1,
"ICD-10","C44.291","C44291","Otra neoplasia maligna especificada de piel de oído y conducto auditivo externo no especificados",1,
"ICD-10","C44.292","C44292","Otra neoplasia maligna especificada de piel de oído y conducto auditivo externo derechos",1,
"ICD-10","C44.299","C44299","Otra neoplasia maligna especificada de piel de oído y conducto auditivo externo izquierdos",1,
"ICD-10","C44.300","C44300","Neoplasia maligna no especificada de piel de parte no especificada de la cara",1,
"ICD-10","C44.301","C44301","Neoplasia maligna no especificada de piel de nariz",1,
"ICD-10","C44.309","C44309","Neoplasia maligna no especificada de piel de otras partes de cara",1,
"ICD-10","C44.310","C44310","Carcinoma basocelular de piel de parte no especificada de la cara",1,
"ICD-10","C44.311","C44311","Carcinoma basocelular de piel de nariz",1,
"ICD-10","C44.319","C44319","Carcinoma basocelular de piel de otras partes de la cara",1,
"ICD-10","C44.320","C44320","Carcinoma de células escamosas de piel de parte no especificada de la cara",1,
"ICD-10","C44.321","C44321","Carcinoma de células escamosas de piel de nariz",1,
"ICD-10","C44.329","C44329","Carcinoma de células escamosas de piel de otras partes de la cara",1,
"ICD-10","C44.390","C44390","Otra neoplasia maligna especificada de piel de parte no especificada de la cara",1,
"ICD-10","C44.391","C44391","Otra neoplasia maligna especificada de piel de nariz",1,
"ICD-10","C44.399","C44399","Otra neoplasia maligna especificada de piel de otras partes de la cara",1,
"ICD-10","C44.500","C44500","Neoplasia maligna no especificada de piel anal",1,
"ICD-10","C44.501","C44501","Neoplasia maligna no especificada de piel de mama",1,
"ICD-10","C44.509","C44509","Neoplasia maligna no especificada de piel de otra parte del tronco",1,
"ICD-10","C44.510","C44510","Carcinoma basocelular de piel anal",1,
"ICD-10","C44.511","C44511","Carcinoma basocelular de piel de mama",1,
"ICD-10","C44.519","C44519","Carcinoma basocelular de piel de otra parte del tronco",1,
"ICD-10","C44.520","C44520","Carcinoma de células escamosas de piel anal",1,
"ICD-10","C44.521","C44521","Carcinoma de células escamosas de piel de mama",1,
"ICD-10","C44.529","C44529","Carcinoma de células escamosas de piel de otra parte del tronco",1,
"ICD-10","C44.590","C44590","Otra neoplasia maligna especificada de piel anal",1,
"ICD-10","C44.591","C44591","Otra neoplasia maligna especificada de piel de mama",1,
"ICD-10","C44.599","C44599","Otra neoplasia maligna especificada de piel de otra parte del tronco",1,
"ICD-10","C44.601","C44601","Neoplasia maligna no especificada de piel de extremidad superior no especificada incluyendo hombro",1,
"ICD-10","C44.602","C44602","Neoplasia maligna no especificada de piel de extremidad superior derecha incluyendo hombro",1,
"ICD-10","C44.609","C44609","Neoplasia maligna no especificada de piel de extremidad superior izquierda incluyendo hombro",1,
"ICD-10","C44.611","C44611","Carcinoma basocelular de piel de extremidad superior no especificada incluyendo hombro",1,
"ICD-10","C44.612","C44612","Carcinoma basocelular de piel de extremidad superior derecha incluyendo hombro",1,
"ICD-10","C44.619","C44619","Carcinoma basocelular de piel de extremidad superior izquierda incluyendo hombro",1,
"ICD-10","C44.621","C44621","Carcinoma de células escamosas de piel de extremidad superior no especificada incluyendo hombro",1,
"ICD-10","C44.622","C44622","Carcinoma de células escamosas de piel de extremidad superior derecha incluyendo hombro",1,
"ICD-10","C44.629","C44629","Carcinoma de células escamosas de piel de extremidad superior izquierda incluyendo hombro",1,
"ICD-10","C44.691","C44691","Otra neoplasia maligna especificada de piel de extremidad superior no especificada incluyendo hombro",1,
"ICD-10","C44.692","C44692","Otra neoplasia maligna especificada de piel de extremidad superior derecha incluyendo hombro",1,
"ICD-10","C44.699","C44699","Otra neoplasia maligna especificada de piel de extremidad superior izquierda incluyendo hombro",1,
"ICD-10","C44.701","C44701","Neoplasia maligna no especificada de piel de extremidad inferior no especificada incluyendo cadera",1,
"ICD-10","C44.702","C44702","Neoplasia maligna no especificada de piel de extremidad inferior derecha incluyendo cadera",1,
"ICD-10","C44.709","C44709","Neoplasia maligna no especificada de piel de extremidad inferior izquierda incluyendo cadera",1,
