"encoding";"code";"code_clean";"description"
"CIE10";"K91.7";"K917";"Punción y desgarro accidental de un órgano o estructura de aparato digestivo durante un procedimiento"
"CIE10";"K91.71";"K9171";"Punción y desgarro accidental de un órgano o estructura de aparato digestivo durante un procedimiento sobre aparato digestivo"
"CIE10";"K91.72";"K9172";"Punción y desgarro accidental de un órgano o estructura de aparato digestivo durante otro tipo de procedimiento"
"CIE10";"K91.89";"K9189";"Otras complicaciones y trastornos de aparato digestivo posprocedimiento"
"CIE10";"T81.31";"T8131";"Ruptura de herida operatoria (quirúrgica) externa, no clasificada bajo otro concepto"
"CIE10";"T81.32";"T8132";"Ruptura de herida operatoria (quirúrgica) interna, no clasificada bajo otro concepto"
"CIE10";"T81.31X";"T8131X";"Ruptura de herida operatoria (quirúrgica) externa, no clasificada bajo otro concepto"
"CIE10";"T81.32X";"T8132X";"Ruptura de herida operatoria (quirúrgica) interna, no clasificada bajo otro concepto"
"CIE10";"T81.31XA";"T8131XA";"Ruptura de herida operatoria (quirúrgica) externa, no clasificada bajo otro concepto, contacto inicial"
"CIE10";"T81.31XD";"T8131XD";"Ruptura de herida operatoria (quirúrgica) externa, no clasificada bajo otro concepto, contacto sucesivo"
"CIE10";"T81.31XS";"T8131XS";"Ruptura de herida operatoria (quirúrgica) externa, no clasificada bajo otro concepto, secuela"
"CIE10";"T81.32XA";"T8132XA";"Ruptura de herida operatoria (quirúrgica) interna, no clasificada bajo otro concepto, contacto inicial"
"CIE10";"T81.32XD";"T8132XD";"Ruptura de herida operatoria (quirúrgica) interna, no clasificada bajo otro concepto, contacto sucesivo"
"CIE10";"T81.32XS";"T8132XS";"Ruptura de herida operatoria (quirúrgica) interna, no clasificada bajo otro concepto, secuela"
