encoding;code;code_clean;description;ssinfc_cd
ICD-10;T81.41;T8141;Infection after a procedure, superficial incisional;1
ICD-10;T81.41XA;T8141XA;Infection after a procedure, superficial incisional, initial contact;1
ICD-10;T81.41XD;T8141XD;Infection after a procedure, superficial incisional, subsequent contact;1
ICD-10;T81.41XS;T8141XS;Infection after a procedure, superficial incisional, sequelae;1
ICD-10;T81.42;T8142;Infection after a procedure, deep incisional;2
ICD-10;T81.42XA;T8142XA;Infection after a procedure, deep incisional, initial contact;2
ICD-10;T81.42XD;T8142XD;Infection after a procedure, deep incisional, subsequent contact;2
ICD-10;T81.42XS;T8142XS;Infection after a procedure, deep incisional, sequelae;2
ICD-10;T81.43;T8143;Infection after a procedure, organ or space;3
ICD-10;T81.43XA ;T8143XA ;Infection after a procedure, organ or space, initial contact;3
ICD-10;T81.43XD;T8143XD;Infection after a procedure, organ or space, subsequent contact;3
ICD-10;T81.43XS ;T8143XS ;Infection after a procedure, organ or space, sequelae;3
ICD-10;T81.49;T8149;Infection after a procedure, other surgical area;4
ICD-10;T81.49XA;T8149XA;Infection after a procedure, other surgical area, initial contact;4
ICD-10;T81.49XD;T8149XD;Infection after a procedure, other surgical area, subsequent contact;4
ICD-10;T81.49XS;T8149XS;Infection after a procedure, other surgical area, sequelae;4
ICD-10;T81.30XA;T8130XA;Disruption of wound, unspecified, initial encounter;1
ICD-10;T84.50XA;T8450XA;Infection and inflammatory reaction due to unspecified internal joint prosthesis, initial encounter;1
ICD-10;T84.51XA;T8451XA;Infection and inflammatory reaction due to internal right hip prosthesis, initial encounter;1
ICD-10;T84.52XA;T8452XA;Infection and inflammatory reaction due to internal left hip prosthesis, initial encounter;1
ICD-10;T84.53XA;T8453XA;Infection and inflammatory reaction due to internal right knee prosthesis, initial encounter;1
ICD-10;T84.54XA;T8454XA;Infection and inflammatory reaction due to internal left knee prosthesis, initial encounter;1
ICD-10;T84.59XA;T8459XA;Infection and inflammatory reaction due to other internal joint prosthesis, initial encounter;1
ICD-10;T84.60XA;T8460XA;Infection and inflammatory reaction due to internal fixation device of unspecified site, initial encounter;1
ICD-10;T84.620A;T84620A;Infection and inflammatory reaction due to internal fixation device of right femur, initial encounter;1
ICD-10;T84.621A;T84621A;Infection and inflammatory reaction due to internal fixation device of left femur, initial encounter;1
ICD-10;T84.69XA;T8469XA;Infection and inflammatory reaction due to internal fixation device of other site, initial encounter;1
ICD-10;T84.7XXA;T847XXA;Infection and inflammatory reaction due to other internal orthopedic prosthetic devices, implants and grafts, initial encounter;1
